https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume BRL,tradecount
1634601600000,2021-10-19,MATICBRL,8.185,8.433,8.02,8.216,97569.2,801258.2427,1096
1634515200000,2021-10-18,MATICBRL,8.022,8.889,7.94,8.18,291500.7,2419766.1584,2965
1634428800000,2021-10-17,MATICBRL,8.296,8.529,7.782,8.007,102076.1,824434.191,2261
1634342400000,2021-10-16,MATICBRL,8.795,8.829,8.222,8.32,147064.8,1249177.5963,1675
1634256000000,2021-10-15,MATICBRL,7.025,9.01,6.898,8.765,1516193.0,12554944.6754,7378
1634169600000,2021-10-14,MATICBRL,6.896,7.142,6.821,7.04,102433.6,717878.5089,914
1634083200000,2021-10-13,MATICBRL,6.85,7.048,6.686,6.895,88748.2,610582.6268,703
1633996800000,2021-10-12,MATICBRL,6.92,6.92,6.45,6.838,96647.2,644180.3425,767
1633910400000,2021-10-11,MATICBRL,6.9,7.2,6.79,6.919,82691.5,577717.7008,874
1633824000000,2021-10-10,MATICBRL,7.476,7.48,6.888,6.942,67841.7,488018.48,725
1633737600000,2021-10-09,MATICBRL,7.47,7.65,7.373,7.459,74427.2,557055.0688,817
1633651200000,2021-10-08,MATICBRL,7.05,7.901,7.01,7.465,218959.6,1659397.7639,1721
1633564800000,2021-10-07,MATICBRL,6.914,7.231,6.75,7.065,157167.8,1098429.9399,1412
1633478400000,2021-10-06,MATICBRL,7.232,7.245,6.62,6.9,181080.0,1264345.6454,1545
1633392000000,2021-10-05,MATICBRL,6.94,7.25,6.877,7.204,111520.6,793507.1943,1150
1633305600000,2021-10-04,MATICBRL,7.1,7.1,6.686,6.919,159982.7,1101992.7798,1188
1633219200000,2021-10-03,MATICBRL,6.96,7.18,6.831,7.104,101526.4,716178.8487,756
1633132800000,2021-10-02,MATICBRL,6.779,7.23,6.562,6.947,133722.6,923718.9262,837
1633046400000,2021-10-01,MATICBRL,6.141,6.794,6.118,6.779,138370.0,909074.8445,1025
1632960000000,2021-09-30,MATICBRL,6.01,6.238,5.995,6.122,77116.0,470635.2683,645
1632873600000,2021-09-29,MATICBRL,5.747,6.04,5.72,6.023,108406.7,644071.4402,615
1632787200000,2021-09-28,MATICBRL,5.885,6.017,5.73,5.747,91528.7,535493.3257,504
1632700800000,2021-09-27,MATICBRL,6.057,6.241,5.881,5.89,124030.2,747015.7347,563
1632614400000,2021-09-26,MATICBRL,6.05,6.281,5.571,6.057,151746.0,903785.8699,674
1632528000000,2021-09-25,MATICBRL,6.062,6.14,5.85,6.051,179834.6,1085436.9135,520
1632441600000,2021-09-24,MATICBRL,6.553,6.56,5.679,6.065,298265.1,1794263.4497,1062
1632355200000,2021-09-23,MATICBRL,6.589,6.642,6.3,6.503,93197.2,603714.4211,632
1632268800000,2021-09-22,MATICBRL,5.552,6.601,5.5,6.587,189144.7,1161259.2847,849
1632182400000,2021-09-21,MATICBRL,6.111,6.352,5.417,5.552,355430.75,2111805.14855,1332
1632096000000,2021-09-20,MATICBRL,6.979,6.979,5.936,6.07,355768.6,2282865.9074,1468
1632009600000,2021-09-19,MATICBRL,7.268,7.28,6.932,6.979,112266.2,797769.4384,589
1631923200000,2021-09-18,MATICBRL,7.595,7.62,7.119,7.246,148084.0,1088868.2863,802
