https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BRL,tradecount
1635292800000,2021-10-27,XRPBRL,6.232,6.322,5.335,5.605,2760825.0,16101934.665,9037
1635206400000,2021-10-26,XRPBRL,6.143,6.524,6.131,6.226,1924643.0,12114053.24,5685
1635120000000,2021-10-25,XRPBRL,6.163,6.254,6.097,6.138,603454.0,3722860.373,2536
1635033600000,2021-10-24,XRPBRL,6.219,6.228,6.01,6.16,689703.0,4238619.403,2327
1634947200000,2021-10-23,XRPBRL,6.197,6.264,6.136,6.209,408463.0,2531531.259,1822
1634860800000,2021-10-22,XRPBRL,6.172,6.476,6.133,6.187,1214846.0,7610093.157,4281
1634774400000,2021-10-21,XRPBRL,6.41,6.514,6.167,6.172,1733013.0,10998538.368,6200
1634688000000,2021-10-20,XRPBRL,6.091,6.438,6.078,6.41,1381144.0,8704050.114,6668
1634601600000,2021-10-19,XRPBRL,5.997,6.109,5.961,6.097,670250.0,4054139.055,2528
1634515200000,2021-10-18,XRPBRL,6.038,6.087,5.909,6.002,742634.0,4467697.264,3197
1634428800000,2021-10-17,XRPBRL,6.265,6.278,5.643,6.02,1206168.0,7273700.538,3831
1634342400000,2021-10-16,XRPBRL,6.295,6.543,6.241,6.255,1093812.0,6940093.779,3482
1634256000000,2021-10-15,XRPBRL,6.307,6.426,6.049,6.283,1831772.0,11451978.326,4506
1634169600000,2021-10-14,XRPBRL,6.265,6.419,6.189,6.307,1057017.0,6651366.951,3815
1634083200000,2021-10-13,XRPBRL,6.146,6.336,6.026,6.261,1388823.0,8592551.275,3931
1633996800000,2021-10-12,XRPBRL,6.336,6.339,5.952,6.144,1463275.0,8948939.933,3661
1633910400000,2021-10-11,XRPBRL,6.315,6.52,6.16,6.346,918276.0,5832660.734,3704
1633824000000,2021-10-10,XRPBRL,6.412,6.784,6.264,6.319,1747572.0,11373581.098,6292
1633737600000,2021-10-09,XRPBRL,5.91,6.698,5.878,6.422,2289500.0,14547089.385,9672
1633651200000,2021-10-08,XRPBRL,5.899,5.98,5.846,5.9,815637.0,4829198.179,3537
1633564800000,2021-10-07,XRPBRL,5.915,6.004,5.745,5.889,1243656.0,7330506.792,5218
1633478400000,2021-10-06,XRPBRL,5.95,6.102,5.578,5.911,1817680.0,10718459.826,7171
1633392000000,2021-10-05,XRPBRL,5.678,5.974,5.647,5.951,1393380.0,8098590.282,5041
1633305600000,2021-10-04,XRPBRL,5.645,5.765,5.45,5.658,1211272.0,6791866.685,3934
1633219200000,2021-10-03,XRPBRL,5.557,5.812,5.474,5.645,1137143.0,6445809.155,4103
1633132800000,2021-10-02,XRPBRL,5.578,5.733,5.395,5.566,1259789.0,7016512.826,3772
1633046400000,2021-10-01,XRPBRL,5.183,5.731,5.131,5.578,2329920.0,12694949.784,6224
1632960000000,2021-09-30,XRPBRL,5.074,5.224,5.042,5.177,706014.0,3634530.547,2599
1632873600000,2021-09-29,XRPBRL,4.88,5.393,4.853,5.077,2107905.0,10939510.504,3859
1632787200000,2021-09-28,XRPBRL,4.993,5.115,4.871,4.88,678051.0,3392031.668,1953
1632700800000,2021-09-27,XRPBRL,5.08,5.26,4.983,4.994,1096705.0,5596674.453,2667
1632614400000,2021-09-26,XRPBRL,5.07,5.147,4.827,5.085,762048.0,3818618.948,2120
1632528000000,2021-09-25,XRPBRL,5.084,5.145,4.948,5.077,650145.0,3291507.088,1880
1632441600000,2021-09-24,XRPBRL,5.343,5.352,4.773,5.084,1566597.0,7864001.984,4647
1632355200000,2021-09-23,XRPBRL,5.377,5.433,5.176,5.347,1148883.0,6098700.208,3294
1632268800000,2021-09-22,XRPBRL,4.648,5.399,4.627,5.368,2066221.0,10451043.059,5900
1632182400000,2021-09-21,XRPBRL,4.949,5.145,4.58,4.644,2178102.71,10629387.46712,6269
1632096000000,2021-09-20,XRPBRL,5.571,5.577,4.716,4.939,2627037.18,13235868.07068,8789
1632009600000,2021-09-19,XRPBRL,5.717,5.753,5.525,5.571,646355.0,3656811.142,2154
1631923200000,2021-09-18,XRPBRL,5.67,5.816,5.642,5.718,505443.0,2899789.736,1924
1631836800000,2021-09-17,XRPBRL,5.763,5.822,5.579,5.674,849926.0,4844649.95,3041
1631750400000,2021-09-16,XRPBRL,5.882,5.93,5.655,5.767,837670.0,4858662.773,3542
1631664000000,2021-09-15,XRPBRL,5.768,5.946,5.675,5.879,1081042.0,6261371.954,3799
1631577600000,2021-09-14,XRPBRL,5.576,5.782,5.539,5.772,1060788.0,5975285.981,3513
1631491200000,2021-09-13,XRPBRL,5.936,5.972,5.424,5.569,2019542.0,11338171.314,7153
1631404800000,2021-09-12,XRPBRL,5.739,5.976,5.634,5.935,1069468.0,6202596.858,3887
1631318400000,2021-09-11,XRPBRL,5.62,5.903,5.597,5.739,1364591.0,7868837.562,4595
1631232000000,2021-09-10,XRPBRL,5.737,6.548,5.455,5.612,3800063.0,22584557.087,11244
1631145600000,2021-09-09,XRPBRL,5.855,6.035,5.711,5.735,2303827.0,13537682.017,7676
1631059200000,2021-09-08,XRPBRL,5.996,6.079,5.331,5.846,3018515.0,17620591.796,9883
1630972800000,2021-09-07,XRPBRL,7.246,7.255,5.0,5.977,4577482.75,28489480.19043,18003
1630886400000,2021-09-06,XRPBRL,6.798,7.365,6.795,7.246,3241188.87,23003660.00371,11124
1630800000000,2021-09-05,XRPBRL,6.556,6.826,6.469,6.798,1423784.0,9516563.776,4278
