https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume BRL,tradecount
1668038400000,2022-11-10,BTCBRL,84187.0,98500.0,83523.0,94423.0,1733.41386,159206133.8203,80532
1667952000000,2022-11-09,BTCBRL,96827.0,97499.0,82379.0,84187.0,2023.451957,182805617.97343,91721
1667865600000,2022-11-08,BTCBRL,106757.0,107208.0,90999.0,96818.0,1861.64054,187295165.37403,96157
1667779200000,2022-11-07,BTCBRL,106762.0,107996.0,105023.0,106712.0,909.1494,96627342.6784,40105
1667692800000,2022-11-06,BTCBRL,108356.0,108630.0,106603.0,106770.0,149.89026,16155607.72553,11934
1667606400000,2022-11-05,BTCBRL,107541.0,109180.0,107256.0,108304.0,154.30897,16728244.44255,14928
1667520000000,2022-11-04,BTCBRL,104245.0,107899.0,104135.0,107542.0,634.08709,67251832.05143,31541
1667433600000,2022-11-03,BTCBRL,104592.0,105740.0,103872.0,104245.0,446.50362,46750039.23213,24734
1667347200000,2022-11-02,BTCBRL,106147.0,107658.0,104110.0,104592.0,377.17197,39968019.44002,23524
1667260800000,2022-11-01,BTCBRL,106962.0,107926.0,104962.0,106143.0,503.33233,53417801.37045,26640
1667174400000,2022-10-31,BTCBRL,110459.0,111800.0,105806.0,106941.0,801.7731,87051317.3584,43249
1667088000000,2022-10-30,BTCBRL,110464.0,110899.0,108929.0,110459.0,173.33767,19034818.54098,13924
1667001600000,2022-10-29,BTCBRL,109420.0,111610.0,109200.0,110390.0,248.48069,27447559.62241,17575
1666915200000,2022-10-28,BTCBRL,107984.0,110866.0,106632.0,109423.0,484.75222,52873920.43779,27598
1666828800000,2022-10-27,BTCBRL,110941.0,111333.0,107566.0,107945.0,579.29577,63439088.14475,32711
1666742400000,2022-10-26,BTCBRL,105949.0,111500.0,105878.0,110942.0,723.30513,79244818.55094,41642
1666656000000,2022-10-25,BTCBRL,102140.0,108050.0,101752.0,105904.0,738.2608,77528091.25533,40492
1666569600000,2022-10-24,BTCBRL,101700.0,102774.0,100000.0,102140.0,470.77949,47853067.42345,29886
1666483200000,2022-10-23,BTCBRL,100102.0,102200.0,99529.0,101648.0,168.49976,17038774.06852,13827
1666396800000,2022-10-22,BTCBRL,99698.0,100233.0,99585.0,100100.0,89.0731,8904409.55621,12378
1666310400000,2022-10-21,BTCBRL,100181.0,100585.0,99033.0,99675.0,427.41616,42672095.48647,28082
1666224000000,2022-10-20,BTCBRL,101523.0,102175.0,99919.0,100157.0,531.07406,53560273.39783,33300
1666137600000,2022-10-19,BTCBRL,101925.0,102464.0,101000.0,101523.0,367.58922,37409537.04122,23841
1666051200000,2022-10-18,BTCBRL,103256.0,103998.0,101000.0,101878.0,575.76915,59237501.57162,31288
1665964800000,2022-10-17,BTCBRL,102160.0,103670.0,101454.0,103212.0,614.98572,63286028.63843,29817
1665878400000,2022-10-16,BTCBRL,101702.0,102956.0,101587.0,102131.0,162.81029,16638456.97916,13332
1665792000000,2022-10-15,BTCBRL,102249.0,102487.0,101294.0,101702.0,127.04156,12953764.88173,11377
1665705600000,2022-10-14,BTCBRL,102115.0,105000.0,101837.0,102249.0,567.91424,58623895.60751,26626
1665619200000,2022-10-13,BTCBRL,101282.0,103000.0,96954.0,102088.0,707.67125,70807118.19539,32408
1665532800000,2022-10-12,BTCBRL,100963.0,101704.0,100620.0,101304.0,190.71147,19310755.80841,13606
1665446400000,2022-10-11,BTCBRL,99875.0,101241.0,99000.0,100910.0,392.53156,39349030.2531,21089
1665360000000,2022-10-10,BTCBRL,101999.0,102372.0,99358.0,99915.0,427.78627,43042551.61794,25371
1665273600000,2022-10-09,BTCBRL,101759.0,102507.0,101321.0,101989.0,82.81378,8454963.16183,8174
1665187200000,2022-10-08,BTCBRL,102305.0,106924.0,101000.0,101759.0,146.49741,15016280.54573,11123
1665100800000,2022-10-07,BTCBRL,104858.0,105270.0,101438.0,102236.0,488.70186,50398623.80201,31679
1665014400000,2022-10-06,BTCBRL,105284.0,106627.0,104083.0,104853.0,535.35967,56336576.86241,34633
1664928000000,2022-10-05,BTCBRL,105837.0,106315.0,103800.0,105252.0,606.20855,63636779.44594,44807
1664841600000,2022-10-04,BTCBRL,101888.0,106341.0,101162.0,105837.0,617.13169,64261921.95023,35141
1664755200000,2022-10-03,BTCBRL,102738.0,103973.0,99861.0,101888.0,749.251,75850752.30102,46764
1664668800000,2022-10-02,BTCBRL,103963.0,104410.0,101940.0,102702.0,160.89849,16618165.61167,13009
1664582400000,2022-10-01,BTCBRL,104726.0,105005.0,103368.0,103964.0,189.83755,19768621.53706,16608
1664496000000,2022-09-30,BTCBRL,105367.0,108400.0,103200.0,104688.0,1252.16178,131916693.4644,61434
1664409600000,2022-09-29,BTCBRL,103934.0,105555.0,101782.0,105319.0,582.19267,60489273.98316,34682
1664323200000,2022-09-28,BTCBRL,101998.0,105569.0,99297.0,103899.0,642.39429,66053709.73287,42945
1664236800000,2022-09-27,BTCBRL,102230.0,107654.0,100685.0,101982.0,809.83713,84441213.76637,48132
1664150400000,2022-09-26,BTCBRL,98311.0,102555.0,97770.0,102229.0,642.2072,64734551.87954,46252
1664064000000,2022-09-25,BTCBRL,98938.0,100015.0,97650.0,98296.0,208.39133,20646664.61593,20958
1663977600000,2022-09-24,BTCBRL,100810.0,100814.0,98386.0,98930.0,323.92465,32334248.00841,25040
1663891200000,2022-09-23,BTCBRL,99841.0,101719.0,97092.0,100827.0,634.18074,62661047.87529,34628
1663804800000,2022-09-22,BTCBRL,96204.0,100412.0,95684.0,99830.0,456.22012,45022499.50007,30458
1663718400000,2022-09-21,BTCBRL,97714.0,103050.0,94690.0,96248.0,770.64022,76241642.50485,42336
1663632000000,2022-09-20,BTCBRL,101735.0,102169.0,97282.0,97692.0,731.10077,72501901.47796,38561
1663545600000,2022-09-19,BTCBRL,102612.0,103100.0,96956.0,101735.0,650.40847,65082942.81841,36846
1663459200000,2022-09-18,BTCBRL,105902.0,105950.0,102150.0,102614.0,194.95026,20319071.9498,15579
1663372800000,2022-09-17,BTCBRL,104343.0,106336.0,104186.0,105900.0,188.04126,19797805.44615,16053
