Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume BRL,tradecount
1662595200000,2022-09-08,AXSBRL,71.0,73.7,69.8,72.0,4877.22,349064.366,457
1662508800000,2022-09-07,AXSBRL,69.0,72.3,67.9,71.0,4262.35,298134.653,409
1662422400000,2022-09-06,AXSBRL,73.8,75.4,68.2,69.0,7588.72,540683.816,590
1662336000000,2022-09-05,AXSBRL,75.9,76.9,71.4,74.0,3697.02,272882.791,350
1662249600000,2022-09-04,AXSBRL,79.2,79.6,74.8,75.7,5389.98,411201.227,379
1662163200000,2022-09-03,AXSBRL,72.9,81.0,72.5,78.9,9335.62,728383.73,628
1662076800000,2022-09-02,AXSBRL,73.3,75.0,71.4,72.7,4880.58,357099.108,369
1661990400000,2022-09-01,AXSBRL,73.1,75.0,70.4,73.4,7165.96,515789.462,452
1661904000000,2022-08-31,AXSBRL,71.4,75.4,71.4,73.1,6853.72,504693.339,461
1661817600000,2022-08-30,AXSBRL,70.1,73.0,66.9,71.4,2674.31,187681.354,368
1661731200000,2022-08-29,AXSBRL,67.6,70.7,66.9,70.4,2875.15,196978.779,326
1661644800000,2022-08-28,AXSBRL,70.6,71.5,67.2,67.5,1056.84,74131.185,235
1661558400000,2022-08-27,AXSBRL,67.3,71.1,66.5,70.5,4331.32,299230.268,397
1661472000000,2022-08-26,AXSBRL,74.9,76.5,67.0,67.6,4031.15,291184.993,465
1661385600000,2022-08-25,AXSBRL,74.7,76.5,73.9,75.5,2581.74,194730.534,271
1661299200000,2022-08-24,AXSBRL,75.4,76.7,73.0,74.7,2272.46,171229.886,269
1661212800000,2022-08-23,AXSBRL,73.9,76.2,71.3,75.3,2773.13,206398.085,352
1661126400000,2022-08-22,AXSBRL,75.5,75.5,70.6,73.7,3525.73,254711.267,358
1661040000000,2022-08-21,AXSBRL,73.8,76.5,72.9,75.5,3275.41,245212.606,330
1660953600000,2022-08-20,AXSBRL,74.1,76.6,71.5,73.9,2951.8,220718.419,380
1660867200000,2022-08-19,AXSBRL,83.8,83.8,72.7,74.0,9516.35,739766.133,841
1660780800000,2022-08-18,AXSBRL,88.1,89.0,82.5,84.0,3037.12,266052.5,426
1660694400000,2022-08-17,AXSBRL,92.5,97.7,87.0,87.9,5119.21,463556.714,601
1660608000000,2022-08-16,AXSBRL,92.8,94.8,91.7,92.9,5254.27,488738.972,452
1660521600000,2022-08-15,AXSBRL,94.6,97.5,91.9,93.1,9826.17,920547.952,704
1660435200000,2022-08-14,AXSBRL,98.2,100.8,93.7,94.8,10298.71,1001196.033,612
1660348800000,2022-08-13,AXSBRL,95.1,101.2,94.6,98.1,9249.88,913954.557,768
1660262400000,2022-08-12,AXSBRL,95.3,97.2,92.7,94.7,8456.57,797833.559,494
1660176000000,2022-08-11,AXSBRL,94.6,96.8,93.0,95.3,5964.77,567874.912,554
1660089600000,2022-08-10,AXSBRL,90.1,94.9,88.3,94.3,5046.23,466098.609,547
1660003200000,2022-08-09,AXSBRL,95.7,96.3,89.4,90.6,6687.23,620256.127,697
1659916800000,2022-08-08,AXSBRL,95.9,99.3,95.0,95.7,3630.48,350838.859,501
1659830400000,2022-08-07,AXSBRL,93.4,98.4,92.1,96.2,5838.12,558328.205,513
1659744000000,2022-08-06,AXSBRL,95.8,95.8,93.0,93.5,1735.63,163798.14,298
1659657600000,2022-08-05,AXSBRL,92.8,97.1,92.4,95.5,4978.68,473862.858,447
1659571200000,2022-08-04,AXSBRL,91.2,96.0,90.5,92.8,6077.0,560858.711,504
1659484800000,2022-08-03,AXSBRL,91.4,95.0,82.2,91.2,7947.98,728927.95,633
1659398400000,2022-08-02,AXSBRL,92.3,93.2,86.5,91.1,3876.2,351469.952,505
