Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BRL,tradecount
1645142400000,2022-02-18,ETHBRL,15083.07,15370.12,14231.3,14422.52,1877.8653,27639315.212771,11166
1645056000000,2022-02-17,ETHBRL,16117.59,16327.8,14879.28,15101.72,2063.0921,32003859.932073,11990
1644969600000,2022-02-16,ETHBRL,16504.03,16530.0,15807.68,16098.97,1405.0794,22719132.039259,10018
1644883200000,2022-02-15,ETHBRL,15380.9,16549.98,15292.65,16503.11,1467.4391,23676353.016678,10717
1644796800000,2022-02-14,ETHBRL,15215.88,15544.23,14995.0,15371.62,1330.1545,20322030.052148,8401
1644710400000,2022-02-13,ETHBRL,15462.51,15670.0,15054.21,15205.58,794.6031,12227298.803314,5089
1644624000000,2022-02-12,ETHBRL,15492.31,15815.71,15150.02,15454.0,1138.8099,17610667.758995,6790
1644537600000,2022-02-11,ETHBRL,16225.33,16482.35,15253.23,15504.12,1941.9651,31030202.434031,12158
1644451200000,2022-02-10,ETHBRL,17084.89,17289.93,16141.03,16225.34,2516.7062,42044611.850199,16237
1644364800000,2022-02-09,ETHBRL,16529.54,17218.0,16212.93,17084.89,1446.7271,24366876.871088,13983
1644278400000,2022-02-08,ETHBRL,16661.63,17146.13,16059.03,16548.25,1928.0223,31712725.012467,13330
1644192000000,2022-02-07,ETHBRL,16411.95,16899.46,16057.9,16668.52,1733.6556,28743929.745132,14406
1644105600000,2022-02-06,ETHBRL,16189.39,16500.0,15860.0,16402.1,872.0518,14076656.817986,6897
1644019200000,2022-02-05,ETHBRL,16032.0,16451.1,15879.25,16204.42,1371.7873,22160591.284634,10886
1643932800000,2022-02-04,ETHBRL,14365.56,16045.12,14242.54,16032.84,2710.1201,41465940.757199,15765
1643846400000,2022-02-03,ETHBRL,14246.53,14489.64,13741.02,14375.1,1921.5943,26972198.586171,9592
1643760000000,2022-02-02,ETHBRL,14815.46,14909.89,13893.05,14235.98,1947.255,28146282.547134,11588
1643673600000,2022-02-01,ETHBRL,14346.66,14978.46,14282.97,14815.46,2128.7708,31319973.865688,14029
1643587200000,2022-01-31,ETHBRL,14152.71,14457.0,13477.53,14354.74,2159.7592,30394627.911937,11984
1643500800000,2022-01-30,ETHBRL,14127.67,14324.98,13830.75,14152.71,1260.5567,17768091.252596,7863
1643414400000,2022-01-29,ETHBRL,13787.54,14302.57,13650.12,14100.0,1762.7308,24578509.145925,10376
1643328000000,2022-01-28,ETHBRL,13222.86,13861.72,12849.63,13796.13,2720.8236,36235685.911517,13360
1643241600000,2022-01-27,ETHBRL,13535.57,13714.91,12641.59,13237.11,2839.7952,37654750.333536,14711
1643155200000,2022-01-26,ETHBRL,13554.43,14823.36,13220.0,13539.09,3597.0585,50565393.189752,19198
1643068800000,2022-01-25,ETHBRL,13551.65,13792.7,13061.23,13548.35,2727.5916,36745993.715639,15848
1642982400000,2022-01-24,ETHBRL,14020.71,14025.74,11948.02,13531.91,5332.306,68201172.091791,26598
1642896000000,2022-01-23,ETHBRL,13336.16,14096.6,13111.9,14037.7,2137.5927,29074091.953827,12633
1642809600000,2022-01-22,ETHBRL,14148.32,14456.59,12727.58,13320.46,5602.74345,75707415.484557,29435
1642723200000,2022-01-21,ETHBRL,16448.55,16633.44,13650.0,14160.57,4857.50314,73367946.033637,30473
1642636800000,2022-01-20,ETHBRL,16997.38,17830.0,16387.39,16483.18,1540.3297,26576159.429503,11059
1642550400000,2022-01-19,ETHBRL,17715.46,17790.0,16965.99,16970.49,1244.7361,21536432.172258,9336
1642464000000,2022-01-18,ETHBRL,17873.0,18073.7,17251.76,17722.01,1195.7472,20980033.55172,9128
1642377600000,2022-01-17,ETHBRL,18725.58,18759.79,17510.48,17873.9,1199.0418,21603100.219934,9829
1642291200000,2022-01-16,ETHBRL,18584.83,18950.0,18318.66,18702.19,764.7523,14248048.91328,5968
1642204800000,2022-01-15,ETHBRL,18448.62,18819.99,18233.34,18591.2,719.0596,13360748.11594,6162
1642118400000,2022-01-14,ETHBRL,18083.53,18637.75,17777.77,18450.17,1028.626,18741728.334954,9141
1642032000000,2022-01-13,ETHBRL,18819.02,18959.16,18033.46,18108.46,1098.5427,20305411.339185,9173
1641945600000,2022-01-12,ETHBRL,18258.9,19041.27,18069.07,18844.04,1525.2255,28430917.644527,11951
1641859200000,2022-01-11,ETHBRL,17608.86,18435.12,17432.37,18246.56,1356.6509,24327759.530542,10949
1641772800000,2022-01-10,ETHBRL,17951.22,18109.06,16752.03,17618.7,2234.9591,38915679.282377,14512
1641686400000,2022-01-09,ETHBRL,17573.65,18296.53,17459.85,17962.76,1032.6271,18453174.86117,8696
1641600000000,2022-01-08,ETHBRL,18204.39,18496.09,17123.96,17564.08,1243.8398,22127820.869723,11611
1641513600000,2022-01-07,ETHBRL,19550.12,19603.97,17500.01,18190.38,2678.4895,49080260.547361,20549
1641427200000,2022-01-06,ETHBRL,20432.39,20488.8,19090.37,19560.0,1964.5057,38601837.747198,19055
1641340800000,2022-01-05,ETHBRL,21630.01,21944.44,19000.0,20415.6,1952.6445,41161751.085763,17444
1641254400000,2022-01-04,ETHBRL,21447.38,22093.26,21141.38,21658.68,1477.4675,32141999.928654,12589
1641168000000,2022-01-03,ETHBRL,21590.01,21794.66,20941.45,21439.75,1114.4822,23859791.97516,11253
1641081600000,2022-01-02,ETHBRL,21230.77,21714.37,20962.49,21593.0,595.9275,12712416.714374,6823
1640995200000,2022-01-01,ETHBRL,20744.65,21296.32,20697.99,21237.93,599.0656,12592139.561075,5464
1640908800000,2021-12-31,ETHBRL,20915.22,21487.49,20455.0,20735.12,1069.7098,22476175.909252,9746
1640822400000,2021-12-30,ETHBRL,20845.82,21622.28,20636.26,20915.22,1397.3794,29467981.000201,11787
1640736000000,2021-12-29,ETHBRL,21575.5,21766.43,20711.58,20861.37,1280.5458,27362070.826095,11476
1640649600000,2021-12-28,ETHBRL,22936.42,22954.12,21401.0,21560.47,1640.0898,36216364.393897,14571
1640563200000,2021-12-27,ETHBRL,23263.93,23434.47,22916.41,22955.87,1074.8063,24940460.199776,10853
1640476800000,2021-12-26,ETHBRL,23435.94,23470.49,22939.8,23206.49,972.9563,22602168.429129,7821
1640390400000,2021-12-25,ETHBRL,23110.48,23651.14,22974.81,23440.96,970.8408,22599221.873683,7091
1640304000000,2021-12-24,ETHBRL,23410.9,23627.98,22997.94,23102.75,1259.1889,29383689.459278,11046
1640217600000,2021-12-23,ETHBRL,22700.0,23600.0,22210.53,23421.4,2107.01,48212873.479913,14065
1640131200000,2021-12-22,ETHBRL,23037.48,23342.17,22554.9,22689.07,1919.8651,44122111.241061,13891
1640044800000,2021-12-21,ETHBRL,22622.39,23186.04,22406.7,23024.42,2797.7267,64206558.694562,17492
1639958400000,2021-12-20,ETHBRL,22450.0,22767.69,21527.07,22610.58,2368.5001,52309319.753232,15022
1639872000000,2021-12-19,ETHBRL,22597.36,22930.0,22183.83,22457.4,1474.5703,33211114.519931,9620
1639785600000,2021-12-18,ETHBRL,22060.07,22778.08,21470.08,22611.62,1476.1552,32891538.044359,9704
1639699200000,2021-12-17,ETHBRL,22700.21,22909.08,21257.15,22103.49,2247.1032,49694210.034304,14477
1639612800000,2021-12-16,ETHBRL,22970.8,23633.76,22676.39,22702.39,1648.0937,38192664.044851,12937
1639526400000,2021-12-15,ETHBRL,22055.47,23467.33,20953.0,22978.46,2722.9047,60681978.580476,15696
1639440000000,2021-12-14,ETHBRL,21672.76,22242.44,20603.0,22073.01,1978.8472,42920477.010038,12227
1639353600000,2021-12-13,ETHBRL,23359.31,23455.73,21000.96,21673.45,2356.9836,52098743.825812,14885
1639267200000,2021-12-12,ETHBRL,23163.24,23659.76,22611.52,23395.01,880.332,20335669.072527,6496
1639180800000,2021-12-11,ETHBRL,22133.74,23235.03,21750.02,23143.67,1596.0701,36197704.47946,8555
1639094400000,2021-12-10,ETHBRL,23215.0,23845.0,22074.9,22134.04,2081.4876,47782871.37152,14382
1639008000000,2021-12-09,ETHBRL,24888.99,25150.0,23026.01,23247.95,1831.2433,43774042.67392,13170
1638921600000,2021-12-08,ETHBRL,24301.73,24966.48,24000.0,24873.02,1492.3929,36653111.558546,12714
