Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1667865600000,2022-11-08,FISBRL,1.913,1.999,1.467,1.621,893204.8,1724980.1941,583
1667779200000,2022-11-07,FISBRL,1.901,1.937,1.822,1.903,249532.6,475514.4829,279
1667692800000,2022-11-06,FISBRL,1.911,1.954,1.88,1.907,279087.0,530497.4176,318
1667606400000,2022-11-05,FISBRL,1.913,2.001,1.9,1.91,317346.0,622257.1607,521
1667520000000,2022-11-04,FISBRL,1.883,2.545,1.867,1.911,787088.3,1637536.3582,3781
1667433600000,2022-11-03,FISBRL,1.844,1.92,1.834,1.876,63551.8,119330.5915,246
1667347200000,2022-11-02,FISBRL,1.902,1.904,1.803,1.844,20563.6,38125.5122,163
1667260800000,2022-11-01,FISBRL,1.928,1.942,1.834,1.902,120001.3,228046.427,326
1667174400000,2022-10-31,FISBRL,1.959,2.086,1.897,1.939,233137.6,454532.1282,811
1667088000000,2022-10-30,FISBRL,1.98,2.038,1.93,1.947,173024.1,342922.2358,397
1667001600000,2022-10-29,FISBRL,1.976,2.02,1.962,1.991,1043376.6,2084566.1881,496
1666915200000,2022-10-28,FISBRL,1.994,2.021,1.913,1.981,92517.6,182807.545,299
1666828800000,2022-10-27,FISBRL,2.037,2.06,1.975,1.994,198110.7,397217.7979,361
1666742400000,2022-10-26,FISBRL,2.064,2.079,1.971,2.038,96990.2,195781.4417,286
1666656000000,2022-10-25,FISBRL,1.948,2.164,1.907,2.06,170483.0,343632.582,818
1666569600000,2022-10-24,FISBRL,1.929,1.985,1.876,1.929,168826.5,324710.3463,434
1666483200000,2022-10-23,FISBRL,1.918,2.022,1.86,1.929,212754.9,405975.212,659
1666396800000,2022-10-22,FISBRL,1.802,2.106,1.762,1.918,430769.2,805954.4424,1520
1666310400000,2022-10-21,FISBRL,1.865,1.93,1.72,1.792,258659.1,467563.1629,691
1666224000000,2022-10-20,FISBRL,1.78,1.991,1.77,1.864,1648004.6,3125815.7623,1693
1666137600000,2022-10-19,FISBRL,1.792,2.18,1.736,1.781,758023.3,1363100.0267,1761
1666051200000,2022-10-18,FISBRL,1.771,1.834,1.739,1.771,303164.7,537328.8526,813
1665964800000,2022-10-17,FISBRL,1.792,1.833,1.719,1.751,2343853.6,4180693.059,1197
1665878400000,2022-10-16,FISBRL,1.834,2.2,1.75,1.792,132094.6,259412.7458,997
1665792000000,2022-10-15,FISBRL,1.703,1.939,1.691,1.814,449881.8,813362.3316,1340
1665705600000,2022-10-14,FISBRL,1.698,1.9,1.61,1.695,218806.7,382980.6039,526
1665619200000,2022-10-13,FISBRL,1.666,1.671,1.559,1.643,18506.7,29866.4428,103
1665532800000,2022-10-12,FISBRL,1.668,1.689,1.659,1.666,6905.1,11493.9235,31
1665446400000,2022-10-11,FISBRL,1.66,1.696,1.619,1.688,33361.5,54721.6482,156
1665360000000,2022-10-10,FISBRL,1.707,1.725,1.66,1.66,15047.9,25548.0225,49
1665273600000,2022-10-09,FISBRL,1.695,1.729,1.692,1.699,12393.6,21125.0673,59
