Unix,Date,Symbol,Open,High,Low,Close,Volume WIN,Volume BRL,tradecount
1647475200000,2022-03-17,WINBRL,0.001358,0.001375,0.001337,0.001356,2248996006.0,3041403.389662,2385
1647388800000,2022-03-16,WINBRL,0.00135,0.001372,0.001329,0.001358,1971329983.0,2661785.983966,2377
1647302400000,2022-03-15,WINBRL,0.001337,0.001374,0.001314,0.001351,2007167501.0,2677615.941344,2397
1647216000000,2022-03-14,WINBRL,0.001321,0.001342,0.001311,0.001336,2313938913.0,3065474.040724,2565
1647129600000,2022-03-13,WINBRL,0.001354,0.001363,0.001317,0.001319,2304034196.0,3084495.00728,2296
1647043200000,2022-03-12,WINBRL,0.001325,0.001359,0.001317,0.001354,2372955224.0,3167608.417027,2534
1646956800000,2022-03-11,WINBRL,0.00134,0.001363,0.001317,0.001324,3092051241.0,4126484.299819,3124
1646870400000,2022-03-10,WINBRL,0.001401,0.001414,0.001321,0.001341,3098507441.0,4231650.128463,3148
1646784000000,2022-03-09,WINBRL,0.001371,0.001432,0.001368,0.001399,2681684920.0,3763125.542902,3134
1646697600000,2022-03-08,WINBRL,0.00138,0.00141,0.001363,0.001372,2496465256.0,3466639.470926,2747
1646611200000,2022-03-07,WINBRL,0.001397,0.001424,0.001358,0.001378,1890717424.0,2632999.875958,2149
1646524800000,2022-03-06,WINBRL,0.001458,0.001493,0.001391,0.001396,1909966307.0,2742753.660421,2297
1646438400000,2022-03-05,WINBRL,0.001555,0.001555,0.00145,0.001458,1785862262.0,2649440.109702,2381
1646352000000,2022-03-04,WINBRL,0.001383,0.001655,0.00135,0.001557,2962096850.0,4356583.653783,4045
1646265600000,2022-03-03,WINBRL,0.001429,0.001441,0.001365,0.001387,1836750095.0,2573674.954332,2050
1646179200000,2022-03-02,WINBRL,0.001461,0.001478,0.001415,0.001431,1882284658.0,2729099.146685,2063
1646092800000,2022-03-01,WINBRL,0.00144,0.001491,0.00142,0.001466,1689127834.0,2454686.617628,1921
1646006400000,2022-02-28,WINBRL,0.001341,0.001444,0.001328,0.001441,2454197525.0,3370226.932268,2442
1645920000000,2022-02-27,WINBRL,0.001414,0.001419,0.001329,0.001337,2182434975.0,3005320.240391,2230
1645833600000,2022-02-26,WINBRL,0.001419,0.001452,0.001391,0.001414,2469879993.0,3502273.287069,2558
1645747200000,2022-02-25,WINBRL,0.001346,0.001432,0.001338,0.001415,2724304583.0,3756597.275744,2842
1645660800000,2022-02-24,WINBRL,0.001388,0.001398,0.001228,0.001347,3776286989.0,4908217.977116,3924
1645574400000,2022-02-23,WINBRL,0.001414,0.001562,0.001386,0.001388,2320920962.0,3336807.816755,2498
1645488000000,2022-02-22,WINBRL,0.001424,0.00144,0.001377,0.001414,2346576792.0,3300738.701111,2373
1645401600000,2022-02-21,WINBRL,0.001484,0.001548,0.001409,0.001425,2461241859.0,3626471.690013,2614
1645315200000,2022-02-20,WINBRL,0.001545,0.001547,0.001448,0.001481,1953129496.0,2891620.353908,2164
1645228800000,2022-02-19,WINBRL,0.001551,0.001582,0.00152,0.001546,1540688136.0,2391538.140525,1683
1645142400000,2022-02-18,WINBRL,0.001593,0.001653,0.001542,0.001557,1351028156.0,2147312.043449,1819
1645056000000,2022-02-17,WINBRL,0.00169,0.001719,0.001582,0.001594,1280854489.0,2119057.270836,2068
1644969600000,2022-02-16,WINBRL,0.001731,0.001732,0.001671,0.00169,1343583833.0,2289428.115067,1801
1644883200000,2022-02-15,WINBRL,0.001659,0.001775,0.001653,0.001733,1220455244.0,2096707.850492,1659
1644796800000,2022-02-14,WINBRL,0.001683,0.001686,0.001632,0.001659,1239917540.0,2049388.439878,1576
1644710400000,2022-02-13,WINBRL,0.001708,0.001739,0.001678,0.001686,875948823.0,1504018.902535,1008
1644624000000,2022-02-12,WINBRL,0.001724,0.001768,0.00168,0.001713,1029602238.0,1775997.264648,1504
1644537600000,2022-02-11,WINBRL,0.001822,0.001849,0.001703,0.001726,985995952.0,1773278.330952,1573
1644451200000,2022-02-10,WINBRL,0.001914,0.001955,0.001818,0.001826,865355202.0,1634846.013267,1641
1644364800000,2022-02-09,WINBRL,0.001885,0.001962,0.001824,0.001917,1021225322.0,1943866.010542,1807
1644278400000,2022-02-08,WINBRL,0.001949,0.002022,0.001823,0.001886,1047711850.0,1992469.979072,2039
1644192000000,2022-02-07,WINBRL,0.001843,0.002047,0.001798,0.001943,1528124529.0,2923582.413286,2641
1644105600000,2022-02-06,WINBRL,0.001738,0.001843,0.001738,0.001843,1282724999.0,2290227.802157,2067
1644019200000,2022-02-05,WINBRL,0.001716,0.001791,0.001703,0.001743,1403350253.0,2467067.691878,2300
1643932800000,2022-02-04,WINBRL,0.001606,0.001717,0.001602,0.001712,1731671162.0,2868231.041073,1843
1643846400000,2022-02-03,WINBRL,0.001569,0.00161,0.001558,0.00161,2397046918.0,3785649.11603,1784
1643760000000,2022-02-02,WINBRL,0.001625,0.001651,0.001567,0.001569,1328926070.0,2166955.366854,1593
1643673600000,2022-02-01,WINBRL,0.001625,0.001667,0.001623,0.001627,1709496440.0,2804376.610943,1558
1643587200000,2022-01-31,WINBRL,0.001628,0.001649,0.001579,0.001629,1602914469.0,2591001.376887,1805
1643500800000,2022-01-30,WINBRL,0.001669,0.001703,0.001607,0.001629,1141229131.0,1905306.033296,2184
1643414400000,2022-01-29,WINBRL,0.001625,0.001681,0.001622,0.001666,1229888487.0,2031060.802459,2335
1643328000000,2022-01-28,WINBRL,0.001626,0.0017,0.001583,0.001626,1774292964.0,2877048.162199,2760
1643241600000,2022-01-27,WINBRL,0.001698,0.001715,0.00157,0.001623,1255423193.0,2017504.197339,2486
1643155200000,2022-01-26,WINBRL,0.001597,0.001883,0.00158,0.001698,1141231145.0,1926373.626602,2292
1643068800000,2022-01-25,WINBRL,0.001607,0.001618,0.001543,0.0016,1003533956.0,1590741.146025,1894
1642982400000,2022-01-24,WINBRL,0.001676,0.001676,0.001459,0.001606,3344917516.0,5196027.66087,2945
1642896000000,2022-01-23,WINBRL,0.00167,0.001743,0.001599,0.001679,1708292345.0,2888052.105772,1854
1642809600000,2022-01-22,WINBRL,0.001803,0.001835,0.001511,0.001676,1540404531.0,2612183.152854,1937
1642723200000,2022-01-21,WINBRL,0.002094,0.002111,0.001779,0.00181,1939440379.0,3794590.595515,2370
1642636800000,2022-01-20,WINBRL,0.002181,0.002238,0.002084,0.002094,656689438.0,1436067.956974,1056
1642550400000,2022-01-19,WINBRL,0.002271,0.002289,0.002175,0.002178,1099437600.0,2458842.200706,1638
1642464000000,2022-01-18,WINBRL,0.002266,0.002459,0.002233,0.002272,1506148484.0,3465295.250446,2165
1642377600000,2022-01-17,WINBRL,0.00233,0.002345,0.002198,0.002261,1898237391.0,4306222.108001,2349
1642291200000,2022-01-16,WINBRL,0.002365,0.002647,0.002315,0.002328,1639148165.0,4031203.790207,3193
1642204800000,2022-01-15,WINBRL,0.002166,0.002419,0.002138,0.002373,1726465088.0,3824699.394272,2179
1642118400000,2022-01-14,WINBRL,0.002158,0.0022,0.002109,0.002166,2274575854.0,4913115.301456,2550
1642032000000,2022-01-13,WINBRL,0.00228,0.00228,0.002134,0.002158,2190360763.0,4824112.900731,2231
1641945600000,2022-01-12,WINBRL,0.002133,0.002285,0.002125,0.002263,1952213032.0,4292846.551706,2426
1641859200000,2022-01-11,WINBRL,0.002065,0.00214,0.002044,0.002135,1124152322.0,2353492.93907,3043
1641772800000,2022-01-10,WINBRL,0.002159,0.002198,0.002008,0.002061,1405333042.0,2946919.606697,3405
1641686400000,2022-01-09,WINBRL,0.002142,0.002205,0.002093,0.002161,997415572.0,2154479.74712,2644
1641600000000,2022-01-08,WINBRL,0.002231,0.002279,0.002066,0.002151,1221274254.0,2694551.021184,3435
1641513600000,2022-01-07,WINBRL,0.002377,0.002381,0.002195,0.002231,1383213554.0,3142647.71559,4228
1641427200000,2022-01-06,WINBRL,0.002393,0.002417,0.00232,0.002374,1545853984.0,3667870.514547,4408
