Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BRL,tradecount
1683849600000,2023-05-12,LTCBRL,403.8,407.1,383.1,399.7,1919.569,755732.417,1097
1683763200000,2023-05-11,LTCBRL,403.4,410.1,391.8,403.5,2058.046,826158.3403,1272
1683676800000,2023-05-10,LTCBRL,401.1,409.0,386.4,403.2,2368.677,951364.3299,1448
1683590400000,2023-05-09,LTCBRL,392.0,402.1,390.4,400.7,1812.385,719638.095,1198
1683504000000,2023-05-08,LTCBRL,417.6,427.6,378.5,392.2,3776.627,1511083.2291,1796
1683417600000,2023-05-07,LTCBRL,418.3,424.5,416.1,418.6,734.707,308882.9192,650
1683331200000,2023-05-06,LTCBRL,441.5,443.6,400.0,417.6,2074.578,874873.8483,1655
1683244800000,2023-05-05,LTCBRL,442.3,446.5,435.0,441.8,1532.575,675735.1323,1098
1683158400000,2023-05-04,LTCBRL,447.2,447.2,438.7,442.3,1109.896,490521.7775,873
1683072000000,2023-05-03,LTCBRL,447.0,450.9,430.9,446.3,1886.454,829721.855,1186
1682985600000,2023-05-02,LTCBRL,438.2,451.5,431.4,446.5,1534.638,683409.7556,1150
1682899200000,2023-05-01,LTCBRL,444.7,446.6,431.0,438.4,1528.596,670462.3688,1021
1682812800000,2023-04-30,LTCBRL,458.5,458.5,442.0,444.6,747.806,338204.5025,627
1682726400000,2023-04-29,LTCBRL,451.7,460.7,450.0,457.7,711.284,323388.9839,679
1682640000000,2023-04-28,LTCBRL,449.8,456.0,442.2,451.3,1897.748,850889.9902,1302
1682553600000,2023-04-27,LTCBRL,448.6,460.0,443.2,449.1,1962.496,884016.8131,1455
1682467200000,2023-04-26,LTCBRL,463.4,477.1,432.0,448.2,3796.484,1732919.7483,2117
1682380800000,2023-04-25,LTCBRL,448.8,466.4,443.0,462.9,2517.464,1150644.0828,1612
1682294400000,2023-04-24,LTCBRL,443.5,454.3,438.0,448.5,1680.53,752247.6191,1195
1682208000000,2023-04-23,LTCBRL,446.1,446.6,433.7,443.4,1304.301,575972.8727,867
1682121600000,2023-04-22,LTCBRL,437.0,447.3,433.4,446.3,1262.322,559372.3734,938
1682035200000,2023-04-21,LTCBRL,458.4,462.0,431.7,437.6,2404.258,1078390.8855,1307
1681948800000,2023-04-20,LTCBRL,462.6,471.0,443.3,458.8,3004.284,1375531.1594,1861
1681862400000,2023-04-19,LTCBRL,509.0,509.1,448.8,463.9,4392.416,2109397.3648,2328
1681776000000,2023-04-18,LTCBRL,492.1,514.0,487.5,509.5,2704.398,1367782.9462,1552
1681689600000,2023-04-17,LTCBRL,498.6,499.6,488.0,491.9,2737.677,1347020.0682,1470
1681603200000,2023-04-16,LTCBRL,483.0,510.6,475.9,498.5,2664.196,1318403.7609,1489
1681516800000,2023-04-15,LTCBRL,477.1,485.9,468.8,482.4,1416.462,676128.8996,1056
1681430400000,2023-04-14,LTCBRL,466.4,491.1,465.7,476.6,3558.861,1700522.8375,1901
1681344000000,2023-04-13,LTCBRL,456.3,469.0,454.6,466.8,1529.233,709555.5051,1111
1681257600000,2023-04-12,LTCBRL,474.8,475.9,454.2,456.5,2265.478,1043725.9349,1350
1681171200000,2023-04-11,LTCBRL,476.4,492.1,471.9,474.5,1994.881,956721.7034,1335
1681084800000,2023-04-10,LTCBRL,461.2,479.1,457.3,476.3,2412.846,1132240.032,1376
1680998400000,2023-04-09,LTCBRL,458.5,463.5,454.5,461.3,1017.918,467658.5824,717
1680912000000,2023-04-08,LTCBRL,461.6,465.0,455.2,457.9,1171.03,538101.8826,874
1680825600000,2023-04-07,LTCBRL,462.6,466.0,454.4,461.7,1186.325,546705.3665,866
1680739200000,2023-04-06,LTCBRL,469.0,469.3,458.0,462.8,2161.356,1002886.7801,1139
1680652800000,2023-04-05,LTCBRL,471.5,482.8,463.0,469.4,2128.177,1005931.619,1385
1680566400000,2023-04-04,LTCBRL,474.4,479.3,467.6,472.6,1740.293,825530.5737,1130
1680480000000,2023-04-03,LTCBRL,476.5,489.0,458.1,474.8,2003.988,945469.533,1333
1680393600000,2023-04-02,LTCBRL,473.2,483.9,465.0,476.1,1240.563,588499.8726,1042
1680307200000,2023-04-01,LTCBRL,458.0,482.1,457.2,473.4,1586.252,750637.3701,1367
1680220800000,2023-03-31,LTCBRL,458.8,465.0,450.8,457.8,1522.731,696892.7155,1358
1680134400000,2023-03-30,LTCBRL,472.1,480.1,447.3,459.0,2183.564,1004062.9729,1772
1680048000000,2023-03-29,LTCBRL,464.2,482.1,463.2,471.8,1585.811,751740.2619,1390
1679961600000,2023-03-28,LTCBRL,469.8,470.3,447.4,463.7,2146.664,980257.3585,1651
1679875200000,2023-03-27,LTCBRL,494.4,496.7,463.0,469.6,1889.754,903629.83,1399
1679788800000,2023-03-26,LTCBRL,483.9,502.0,480.7,494.6,1061.361,524788.7127,872
1679702400000,2023-03-25,LTCBRL,497.0,499.0,478.0,485.3,997.079,487887.3146,729
1679616000000,2023-03-24,LTCBRL,498.0,510.0,473.0,496.6,1340.782,656237.3738,973
1679529600000,2023-03-23,LTCBRL,462.1,501.1,454.3,497.3,2735.212,1312982.3506,1594
1679443200000,2023-03-22,LTCBRL,436.6,468.0,421.6,461.6,2950.359,1292789.2,1804
1679356800000,2023-03-21,LTCBRL,412.9,442.0,407.9,436.6,2073.382,888338.1116,1249
1679270400000,2023-03-20,LTCBRL,444.8,446.8,412.4,413.3,1583.23,681732.9224,1201
1679184000000,2023-03-19,LTCBRL,439.2,457.0,434.1,444.8,1276.139,571411.6856,791
1679097600000,2023-03-18,LTCBRL,453.0,466.3,434.1,438.7,1638.752,739248.6856,1080
1679011200000,2023-03-17,LTCBRL,415.7,453.3,412.5,452.5,2868.5,1250143.3549,1487
1678924800000,2023-03-16,LTCBRL,405.3,423.2,402.5,416.3,1807.556,749798.1911,1158
1678838400000,2023-03-15,LTCBRL,445.3,449.9,400.0,405.7,2184.344,916314.2204,1425
1678752000000,2023-03-14,LTCBRL,426.5,464.0,413.8,442.9,2754.009,1213697.549,2048
1678665600000,2023-03-13,LTCBRL,394.6,435.3,382.0,425.0,3795.993,1561061.8758,3046
1678579200000,2023-03-12,LTCBRL,353.1,394.2,347.1,393.5,1598.058,581802.6123,1524
1678492800000,2023-03-11,LTCBRL,374.5,389.0,342.1,354.2,2421.431,871330.3413,1376
1678406400000,2023-03-10,LTCBRL,399.5,399.5,355.9,374.6,2592.342,972286.8908,1427
1678320000000,2023-03-09,LTCBRL,428.8,438.0,390.1,398.7,2448.021,1033324.6022,1329
1678233600000,2023-03-08,LTCBRL,451.0,452.0,422.9,428.8,1513.86,658633.4085,1049
1678147200000,2023-03-07,LTCBRL,453.5,460.4,438.7,451.2,1389.192,624710.3592,1155
1678060800000,2023-03-06,LTCBRL,469.9,474.0,450.1,453.5,1109.485,510463.6163,1083
1677974400000,2023-03-05,LTCBRL,467.6,479.7,467.5,469.9,830.995,394119.8989,793
1677888000000,2023-03-04,LTCBRL,474.3,475.6,458.0,467.4,893.969,419357.014,924
1677801600000,2023-03-03,LTCBRL,498.4,498.7,455.3,474.7,1990.488,937693.3253,1721
1677715200000,2023-03-02,LTCBRL,510.6,512.8,491.1,498.2,1323.111,659144.5141,1717
1677628800000,2023-03-01,LTCBRL,491.7,512.6,490.2,509.9,1417.85,719198.4295,1246
1677542400000,2023-02-28,LTCBRL,491.3,503.8,486.0,491.5,1253.22,620482.1383,819
1677456000000,2023-02-27,LTCBRL,496.9,502.3,481.8,491.7,939.297,462156.9437,806
1677369600000,2023-02-26,LTCBRL,487.1,497.8,484.4,497.8,1110.436,545256.4574,822
1677283200000,2023-02-25,LTCBRL,478.6,488.2,472.7,486.5,1542.796,739791.9292,1183
1677196800000,2023-02-24,LTCBRL,487.9,491.5,470.5,478.7,2118.567,1020040.696,1498
1677110400000,2023-02-23,LTCBRL,494.1,498.6,484.8,488.7,2358.381,1155577.5171,1519
1677024000000,2023-02-22,LTCBRL,489.3,499.4,478.0,494.2,2524.015,1235432.1876,1697
1676937600000,2023-02-21,LTCBRL,498.5,503.0,478.0,489.5,1739.047,851616.5986,1431
1676851200000,2023-02-20,LTCBRL,510.5,513.4,490.2,498.6,1880.686,945844.1473,1716
1676764800000,2023-02-19,LTCBRL,518.6,527.0,506.0,509.5,1360.908,702951.8573,1051
1676678400000,2023-02-18,LTCBRL,520.5,529.7,514.6,519.2,1284.28,668153.8743,1173
